BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2022-12-06,Сбербанк,SBER,93696,7320200569.4,142.2,139.11,143.37,141.6,141.24,140.61,51823300,141.48,141.48,141.6,5622643909.4,5622643909.4,5622643909.4,0,3,SUR,-0.98
SMAL,2022-12-07,Сбербанк,SBER,94,36233.73,139.98,138.05,142.97,,140.53,141.5,257,,,,0.0,0.0,0.0,0,3,SUR,-0.88
TQBR,2022-12-07,Сбербанк,SBER,114937,9820959841.6,140.5,138.36,142.81,142.24,140.53,142.32,69885670,140.37,140.37,142.24,8932686070.8,8932686070.8,8932686070.8,0,3,SUR,1.22
SMAL,2022-12-08,Сбербанк,SBER,6,1847.85,143.78,139.34,143.78,,141.29,139.34,13,,,,0.0,0.0,0.0,0,3,SUR,-1.53
TQBR,2022-12-08,Сбербанк,SBER,121144,9051030863.8,143.5,139.8,143.6,140.38,141.29,139.92,64056510,141.42,141.42,140.38,8181155939.9,8181155939.9,8181155939.9,0,3,SUR,-1.69
SMAL,2022-12-09,Сбербанк,SBER,55,20865.02,137.88,137.88,140.92,,140.0,140.92,150,,,,0.0,0.0,0.0,0,3,SUR,1.13
TQBR,2022-12-09,Сбербанк,SBER,63362,4121787838.9,139.7,139.24,140.7,140.2,140.0,140.03,29441490,140.0,140.0,140.2,3633050731.1,3633050731.1,3633050731.1,0,3,SUR,0.08
SMAL,2022-12-12,Сбербанк,SBER,39,7361.16,140.3,138.38,140.3,,139.63,139.98,53,,,,0.0,0.0,0.0,0,3,SUR,-0.67
TQBR,2022-12-12,Сбербанк,SBER,71986,4674567348.3,140.19,138.7,140.87,139.32,139.63,139.48,33477470,139.64,139.64,139.32,4393885284.6,4393885284.6,4393885284.6,0,3,SUR,-0.39
SMAL,2022-12-13,Сбербанк,SBER,66,30607.01,138.17,136.48,139.75,,138.01,136.48,223,,,,0.0,0.0,0.0,0,3,SUR,-2.5
TQBR,2022-12-13,Сбербанк,SBER,101413,7204347001.0,139.67,136.67,139.93,138.38,138.01,138.13,52200510,138.01,138.01,138.38,6757318323.7,6757318323.7,6757318323.7,0,3,SUR,-0.97
SMAL,2022-12-14,Сбербанк,SBER,5,1244.6,138.15,137.5,138.52,,137.43,137.5,9,,,,0.0,0.0,0.0,0,3,SUR,0.75
TQBR,2022-12-14,Сбербанк,SBER,67864,4682726701.5,138.28,136.6,138.28,137.6,137.43,137.3,34074890,137.4,137.4,137.6,4031577328.7,4031577328.7,4031577328.7,0,3,SUR,-0.6
SMAL,2022-12-15,Сбербанк,SBER,67,23638.63,137.4,134.0,137.4,,135.52,135.9,176,,,,0.0,0.0,0.0,0,3,SUR,-1.16
TQBR,2022-12-15,Сбербанк,SBER,105030,7425601043.9,136.99,134.3,137.08,135.49,135.52,134.55,54791650,135.57,135.57,135.49,6823898465.8,6823898465.8,6823898465.8,0,3,SUR,-2.0
SMAL,2022-12-16,Сбербанк,SBER,10,2441.76,134.0,134.0,136.68,,135.32,136.6,18,,,,0.0,0.0,0.0,0,3,SUR,0.52
SPEQ,2022-12-16,Сбербанк,SBER,878,5616705150.0,135.45,135.45,135.45,,,135.45,41467000,,,,0.0,0.0,0.0,0,3,SUR,-2.92
TQBR,2022-12-16,Сбербанк,SBER,65134,4438893679.0,134.5,134.13,136.09,135.73,135.32,135.45,32802120,135.32,135.32,135.73,4067258327.3,4067258327.3,4067258327.3,0,3,SUR,0.67
SMAL,2022-12-19,Сбербанк,SBER,91,35688.23,134.0,132.79,136.0,,134.67,134.63,266,,,,0.0,0.0,0.0,0,3,SUR,-1.44
