,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
1160,TQBR,2023-04-24,SBER,68329,7185358111.2,235.07,234.1,236.4,235.3,235.1,30536770,,,-0.03
1162,TQBR,2023-04-25,SBER,65347,7565048264.5,235.13,234.21,235.82,235.02,235.3,32187450,,,0.09
1164,TQBR,2023-04-26,SBER,50819,5751047264.4,235.6,234.91,235.95,235.41,235.21,24430320,,,-0.04
1166,TQBR,2023-04-27,SBER,112733,16307607839.2,235.59,235.13,240.74,238.73,240.38,68311610,,,2.2
1168,TQBR,2023-04-28,SBER,95222,11892356487.7,240.9,237.66,241.58,239.85,240.38,49583350,,,0.0
1170,TQBR,2023-05-02,SBER,154127,20364151649.6,242.2,237.4,245.0,242.47,242.62,83957810,,,0.93
1172,TQBR,2023-05-03,SBER,149892,18372320194.5,242.85,234.0,242.99,239.18,235.77,76827180,,,-2.82
1174,TQBR,2023-05-04,SBER,117319,12637521165.2,236.89,236.05,239.74,238.09,238.89,53079590,,,1.32
1176,TQBR,2023-05-05,SBER,126821,14683897982.1,239.24,237.3,240.66,239.36,237.7,61366140,,,-0.5
1178,TQBR,2023-05-08,SBER,91091,11420605923.6,238.69,237.36,239.86,238.6,238.27,47865890,,,0.24
1180,TQBR,2023-05-10,SBER,330492,34751930179.7,216.5,215.7,227.5,221.51,227.06,156874740,,,-4.7
1182,TQBR,2023-05-11,SBER,322710,45532596380.3,228.87,223.94,235.38,230.78,229.32,197302410,,,1.0
1184,TQBR,2023-05-12,SBER,164967,16140281925.4,231.0,226.15,232.47,228.83,229.29,70528170,,,-0.01
1186,TQBR,2023-05-15,SBER,108885,11295223379.6,230.51,228.52,231.75,230.07,231.7,49090190,,,1.05
1188,TQBR,2023-05-16,SBER,94873,8446678565.3,232.4,229.57,232.86,230.53,230.62,36613690,,,-0.47
